,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident
11735,Under 18,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking
9508,18-30,Male,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
11124,18-30,Male,Junior high school,Other,No Licence,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to pedestrian
1181,31-50,Male,Junior high school,Employee,2-5yr,Unknown,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right
8497,18-30,Male,Elementary school,Employee,2-5yr,other,No junction,Asphalt roads,Darkness - no lighting,Unknown,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing
12187,18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward
2425,31-50,Male,Unknown,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left
11661,Under 18,Male,Junior high school,Employee,5-10yr,One way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly
9141,31-50,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Driving under the influence of drugs
4190,Unknown,Female,Elementary school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to pedestrian
2605,Unknown,Female,Junior high school,Employee,Below 1yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
10227,Over 51,Male,Elementary school,Employee,Above 10yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
4052,18-30,Male,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Fall from vehicles,Going straight,Not a Pedestrian,Moving Backward
2888,31-50,Male,Unknown,Owner,Unknown,One way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other
5629,Over 51,Male,High school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Crossing from driver's nearside,Changing lane to the right
7653,18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Unknown or other,Overturning
3262,31-50,Male,Elementary school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,No priority to vehicle
11332,Unknown,Male,Elementary school,Owner,Above 10yr,other,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,Changing lane to the left
7425,31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overturning
3268,Unknown,Female,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,U-Turn,Not a Pedestrian,Changing lane to the right
5397,18-30,Male,Unknown,Owner,Unknown,Unknown,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward
4813,31-50,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),T Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from driver's nearside,Changing lane to the right
7026,31-50,Male,Elementary school,Owner,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Other,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right
7823,Under 18,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving under the influence of drugs
3925,31-50,Male,Junior high school,Employee,Below 1yr,other,Other,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
10790,Under 18,Female,Junior high school,Employee,5-10yr,other,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Reversing,Not a Pedestrian,Overspeed
8530,18-30,Male,Junior high school,Employee,2-5yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Other,Not a Pedestrian,Changing lane to the left
1724,18-30,Male,Junior high school,Owner,Above 10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle
5013,31-50,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to pedestrian
3232,31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Improper parking
6701,18-30,Male,High school,Employee,1-2yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs
2544,31-50,Male,Unknown,Other,Unknown,Undivided Two way,O Shape,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Changing lane to the right
9027,18-30,Male,Unknown,Unknown,Unknown,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
7489,Over 51,Male,High school,Owner,2-5yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Getting off,Not a Pedestrian,No distancing
905,Unknown,Female,Junior high school,Employee,1-2yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
10178,31-50,Male,Unknown,Unknown,Unknown,One way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right
917,18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Unknown,Going straight,Not a Pedestrian,No priority to vehicle
7399,31-50,Male,Junior high school,Employee,1-2yr,other,Y Shape,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,No distancing
571,18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the right
2508,18-30,Male,Junior high school,Employee,Above 10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
703,Unknown,Female,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left
7509,Unknown,Male,Elementary school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
8692,31-50,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
6146,Unknown,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left
5298,Unknown,Male,Junior high school,Owner,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Rollover,U-Turn,Not a Pedestrian,Changing lane to the right
5550,31-50,Male,Unknown,Other,Unknown,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to pedestrian
6029,Unknown,Male,Junior high school,Employee,Above 10yr,Undivided Two way,T Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle
4437,31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
4908,Unknown,Male,Writing & reading,Employee,5-10yr,Undivided Two way,Y Shape,Earth roads,Daylight,Normal,Collision with roadside objects,Reversing,Not a Pedestrian,Overtaking
1474,Over 51,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
8941,Over 51,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian
2035,31-50,Male,Unknown,Unknown,Unknown,Unknown,No junction,Unknown,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Overtaking
3586,Unknown,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
7670,31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from driver's nearside,Changing lane to the right
7790,18-30,Male,Above high school,Owner,1-2yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing
8127,31-50,Male,Junior high school,Employee,1-2yr,other,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing
8144,Under 18,Male,Junior high school,Employee,Below 1yr,other,Other,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly
11118,18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Unknown,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left
6582,31-50,Male,Junior high school,Employee,2-5yr,One way,Other,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No priority to vehicle
1164,Over 51,Male,Unknown,Owner,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left
10502,18-30,Male,Junior high school,Employee,2-5yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
10342,31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Cloudy,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward
11701,18-30,Male,High school,Owner,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Getting off the vehicle improperly
8067,18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to vehicle
1044,31-50,Male,Above high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Other
2818,18-30,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
9081,18-30,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Getting off,Not a Pedestrian,No distancing
6799,31-50,Male,Unknown,Unknown,Unknown,other,No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right
9933,18-30,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Drunk driving
10665,18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly
8875,18-30,Male,High school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Other
1532,18-30,Male,High school,Employee,2-5yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,Changing lane to the right
737,31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the left
12051,18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward
1596,Over 51,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Unknown,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Driving under the influence of drugs
